model,mape,r2,efficiency_gain,annual_revenue_impact,staff_efficiency,inventory_improvement
Xgboost,17.302268477896117,0.7406506538391113,1.3488657610519414,37967689.4249781,11.10975980758667,6.61581852176831
Random Forest,21.157243951927143,0.5954125098592731,0.0,0.0,8.931187647889097,6.307420483845829
Decision Tree,23.232351145418434,0.4990090391923254,0.0,0.0,7.485135587884882,6.141411908366525
